Molecule_ID,library_tag,Standardized_Molecule_Smiles,Standardized_Molecule_InChIKey,IsInBSCpaper,BSC_name,IC50 (uM)_BSC,PIC50_BSC,IsInGHDDI,parameter_GHDDI,value_GHDDI,unit_GHDDI,PX_GHDDI,Target_name_GHDDI,IsInIntegrity,Min Value_Integrity,PIC50_Integrity,Source_Integrity,Mechanism of Action,IsInGostar,GVK_ID_Gostar,reference_Gostar,source_Gostar,std_activity_type_Gostar,standard_uom_Gostar,activity_value_Gostar,PIC50_Gostar,Binder,References COVID-19,activity COVID-19,pIC50 COVID-19,pIC50>6,pIC50>5
1641,virtual,CC(C)C[C@H](NC(=O)OC1CCC(CC1)c2ccccc2)C(=O)N[C@@H](C[C@@H]3CCNC3=O)C(O)S(=O)(=O)O,GQBZOCZYIKJBAR-DVIGSKHCSA-N,no,,,,yes,EC50,"0,3",µM,"6,52",3C-like protease [Middle East respiratory syndrome coronavirus],no,,,,3C-Like Protease,no,,,,,,,,,,,,yes,yes
1642,virtual,CC(C)C[C@H](NC(=O)OC1CCN(CC1)C(=O)OC(C)(C)C)C(=O)N[C@@H](C[C@@H]2CCNC2=O)C(O)S(=O)(=O)O,AVMDEKFUKVZQPM-PIJSLZJWSA-N,no,,,,yes,EC50,"0,2",µM,"6,7",3C-like protease [Middle East respiratory syndrome coronavirus],yes,"2,4E-06","5,62","Kankanamalage, A.C.G.; Kim, Y.; Damalanka, V.C.; et al.",3C-Like Protease,no,,,,,,,,COVALENT,,,,yes,yes
1644,virtual,O=C[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](Cc2ccccc2)NC(=O)c3cnc4ccccc4n3,SGLJMGLLVCJBPU-WFXMLNOXSA-N,no,,,,no,,,,,,yes,"1,36E-06","5,87",Aldehyde and preparation and application thereof,,no,,,,,,,,,,,,no,yes
1645,virtual,OC(=O)c1cccc(c1)N2N=C(\C(=C\c3oc(cc3)c4ccccc4)\C2=O)c5ccccc5,SQOXEZFEMGRSIQ-QJOMJCCJSA-N,no,,,,no,,,,,,yes,"6,4E-06","5,19","Kumar, V.; Tan, K.P.; Wang, Y.M.; Lin, S.W.; Liang, P.H.",3C-Like Protease,yes,123195939,"Bioorg. Med. Chem., 2016, 24 (13), 3035-3042",MIDDLE EAST RESPIRATORY SYNDROME CORONAVIRUS,IC50,uM,"5,8","5,24",,,,,no,yes
1646,virtual,CC(C)(C)c1ccc(cc1)N2N=C(\C(=C\c3oc(cc3)c4cc(Cl)ccc4C(=O)O)\C2=O)c5ccccc5,FCOYPXSNXIJBGX-ITYLOYPMSA-N,no,,,,yes,IC50,"6,6",µM,"5,19",3C-like proteinase (cleavage product of Replicase polyprotein 1ab) [SARS coronavirus],yes,"7,4E-06","5,13","Kumar, V.; Tan, K.P.; Wang, Y.M.; Lin, S.W.; Liang, P.H.",3C-Like Protease,yes,123195937,"Bioorg. Med. Chem., 2016, 24 (13), 3035-3042",MIDDLE EAST RESPIRATORY SYNDROME CORONAVIRUS,IC50,uM,"7,4","5,13",,,,,no,yes
1647,virtual,Clc1ccc(SSc2ncccn2)cc1,SPHGDOQAQWNVCF-UHFFFAOYSA-N,no,,,,no,,,,,,yes,"6,84E-07","6,16",Asymmetric aromatic disulfide compound and its application in preparation of SARS coronary virus infection medicine application,3C-Like Protease (SARS-CoV),no,,,,,,,,NON COVALENT,,,,yes,yes
1648,virtual,Clc1ccc(SSc2ocnn2)cc1,YANPJRMMERZAJG-UHFFFAOYSA-N,no,,,,no,,,,,,yes,"5,16E-07","6,29",Asymmetric aromatic disulfide compound and its application in preparation of SARS coronary virus infection medicine application,3C-Like Protease (SARS-CoV),no,,,,,,,,NON COVALENT,,,,yes,yes
1649,virtual,CC(=O)Nc1cnc(SSc2ccc(Br)cc2)s1,IQTZWIHYBZOFEX-UHFFFAOYSA-N,no,,,,no,,,,,,yes,"1,651E-06","5,78",An asymmetric aromatic disulfide compound of five-membered heterocycle of the application in preparing medicine for treating SARS,,no,,,,,,,,NON COVALENT,,,,no,yes
1650,virtual,CC(=O)Nc1cnc(SSc2ccccc2)s1,VFDBOOXHLIXHGY-UHFFFAOYSA-N,no,,,,no,,,,,,yes,"1,506E-06","5,82",An asymmetric aromatic disulfide compound of five-membered heterocycle of the application in preparing medicine for treating SARS,,no,,,,,,,,NON COVALENT,,,,no,yes
1651,virtual,CC(=O)Nc1cnc(SSc2ccccc2[N+](=O)[O-])s1,QKGACAFLJPRKDT-UHFFFAOYSA-N,no,,,,no,,,,,,yes,"1,947E-06","5,71",Asymmetric disulfide compound application in SARS coronavirus infection,,no,,,,,,,,NON COVALENT,,,,no,yes
1652,virtual,Cc1ccc(SSc2nccs2)cc1,KDIUNDCTDYBFOQ-UHFFFAOYSA-N,no,,,,no,,,,,,yes,"1,25E-06","5,90",Asymmetric disulfide compound application in SARS coronavirus infection,,no,,,,,,,,NON COVALENT,,,,no,yes
1654,virtual,OC(=O)c1ccccc1c2oc(\C=C\3/C(=O)N(N=C3c4ccccc4)c5ccccc5)cc2,FPDHFAJPJUEJDC-QJOMJCCJSA-N,no,,,,no,,,,,,yes,"3,03E-05","4,52","Kumar, V.; Tan, K.P.; Wang, Y.M.; Lin, S.W.; Liang, P.H.",3C-Like Protease,yes,123195941,"Bioorg. Med. Chem., 2016, 24 (13), 3035-3042",SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS,IC50,uM,"41,2","4,39",,,,,no,no
1659,virtual,Fc1ccc(cc1)C(=O)N2C[C@H]3CCCC[C@@H]3C[C@H]2CN[C@@H](Cc4c[nH]cn4)C=O,FXZXYOPSBKVOFK-UBBRYJJRSA-N,yes,144,57,"4,24",yes,IC50,57,µM,"4,24",Severe Acute Respiratory Syndrome-Cov 3Clpro [SARS coronavirus],yes,"5,7E-05","4,24","Shimamoto, Y.; Hattori, Y.; Kobayashi, K.; Teruya, K.; Sanjoh, A.; Nakagawa, A.; Yamashita, E.; Akaji, K.",3C-Like Protease (SARS-CoV),yes,122741945,"Bioorg. Med. Chem., 2015, 23 (4), 876-890",SARS CORONAVIRUS,IC50,uM,57,"4,24",NON COVALENT,,,,no,no
1660,virtual,O=C[C@H](Cc1c[nH]cn1)NC[C@@H]2C[C@H]3CCCC[C@@H]3CN2C(=O)c4ccccc4,AMCCGTGZJQOWFV-WKDRNLAYSA-N,yes,142,68,"4,17",yes,IC50,68,µM,"4,17",Severe Acute Respiratory Syndrome-Cov 3Clpro [SARS coronavirus],yes,"6,8E-05","4,17","Shimamoto, Y.; Hattori, Y.; Kobayashi, K.; Teruya, K.; Sanjoh, A.; Nakagawa, A.; Yamashita, E.; Akaji, K.",3C-Like Protease (SARS-CoV),yes,122741943,"Bioorg. Med. Chem., 2015, 23 (4), 876-890",SARS CORONAVIRUS,IC50,uM,68,"4,17",NON COVALENT,,,,no,no
1661,virtual,Brc1ccc(cc1)C(=O)N2C[C@H]3CCCC[C@@H]3C[C@H]2CN[C@@H](Cc4c[nH]cn4)C=O,SKLHMRHVVDDIOX-UBBRYJJRSA-N,yes,143,63,"4,20",yes,IC50,63,µM,"4,2",Severe Acute Respiratory Syndrome-Cov 3Clpro [SARS coronavirus],yes,"6,3E-05","4,20","Shimamoto, Y.; Hattori, Y.; Kobayashi, K.; Teruya, K.; Sanjoh, A.; Nakagawa, A.; Yamashita, E.; Akaji, K.",3C-Like Protease (SARS-CoV),yes,124189201,"Bioorg. Med. Chem., 2019, 27 (2), 425-435",,IC50,uM,63,"4,20",NON COVALENT,,,,no,no
1662,virtual,OC(=O)c1ccc(Cl)cc1c2oc(\C=C\3/C(=O)N(N=C3c4ccccc4)c5ccc(F)cc5)cc2,YQHUXSFPUWHNEN-HAHDFKILSA-N,no,,,,no,,,,,,yes,"1,01E-05","5,00","Kumar, V.; Tan, K.P.; Wang, Y.M.; Lin, S.W.; Liang, P.H.",3C-Like Protease,yes,123195935,"Bioorg. Med. Chem., 2016, 24 (13), 3035-3042",SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS,IC50,uM,"20,2","4,69",,,,,no,yes
1663,virtual,OC(=O)c1ccc(Cl)cc1c2oc(\C=C\3/C(=O)N(N=C3c4ccccc4)c5ccccc5)cc2,YIPRRRUTHXSMOT-KQWNVCNZSA-N,no,,,,no,,,,,,yes,"1,22E-05","4,91","Kumar, V.; Tan, K.P.; Wang, Y.M.; Lin, S.W.; Liang, P.H.",3C-Like Protease,yes,123195934,"Bioorg. Med. Chem., 2016, 24 (13), 3035-3042",SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS,IC50,uM,"16,4","4,79",,,,,no,no
1668,virtual,CC1CCN(CC1)S(=O)(=O)c2ccc3N(C)C(=O)C(=O)c3c2,VJMHCEGFLYQVFN-UHFFFAOYSA-N,no,,,,yes,IC50,"1,04",µM,"5,98",3CLpro (3-chymotrypsin-like protease) [SARS coronavirus],yes,"1,04E-06","5,98","Liu, W.; Zhu, H.M.; Niu, G.J.; Shi, E.Z.; Chen, J.; Sun, B.; Chen, W.Q.; Zhou, H.G.; Yang, C.",3C-Like Protease (SARS-CoV),yes,122360505,"Bioorg. Med. Chem., 2014, 22 (1), 292-302",SARS CORONAVIRUS,IC50,uM,"1,04","5,98",NON COVALENT,,,,no,yes
1669,virtual,CC(C)C[C@H](NC(=O)c1cc2ccccc2[nH]1)C(=O)N[C@@H](C[C@@H]3CCNC3=O)C(=O)c4nc5ccccc5s4,JMBJZTHVHMZAKN-NYVOZVTQSA-N,no,,,,no,,,,,,yes,"6,5E-08","7,19","Thanigaimalai, P.; Konno, S.; Yamamoto, T.; et al.",3C-Like Protease (SARS-CoV),yes,122232501,"Eur. J. Med. Chem., 2013, 68 (), 372-384",SARS CORONAVIRUS,Ki,uM,"0,065","7,19",,,,,yes,yes
1670,virtual,COc1cccc2[nH]c(cc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]3CCNC3=O)C(=O)c4nc5ccccc5s4,JBLLRCOZJMVOAE-HSQYWUDLSA-N,no,,,,no,,,,,,yes,"6,3E-09","8,20","Thanigaimalai, P.; Konno, S.; Yamamoto, T.; et al.",3C-Like Protease (SARS-CoV),yes,122232506,"Eur. J. Med. Chem., 2013, 68 (), 372-384",SARS CORONAVIRUS,Ki,uM,"0,0063","8,20",,,,,yes,yes
